"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","BeijingX_57:93:46","Broadcast","XID","60","Basic Format; Type 1 LLC (Class I LLC); Window Size 0"
"2","0.066285","0.0.0.0","255.255.255.255","DHCP","350","DHCP Discover - Transaction ID 0xb0634f49"
"3","0.113259","0.0.0.0","255.255.255.255","DHCP","350","DHCP Request  - Transaction ID 0xb0634f49"
"4","0.119793","BeijingX_57:93:46","Broadcast","ARP","60","Who has 192.168.50.99? (ARP Probe)"
"5","0.508372","BeijingX_57:93:46","Broadcast","ARP","60","Who has 192.168.50.99? (ARP Probe)"
"6","1.023368","BeijingX_57:93:46","Broadcast","ARP","60","ARP Announcement for 192.168.50.99"
"7","1.056302","BeijingX_57:93:46","Broadcast","ARP","60","Who has 192.168.50.1? Tell 192.168.50.99"
"8","1.133315","BeijingX_57:93:46","Broadcast","ARP","60","ARP Announcement for 192.168.50.99"
"9","2.062802","BeijingX_57:93:46","Broadcast","ARP","60","ARP Announcement for 192.168.50.99"
"10","3.115580","BeijingX_57:93:46","Broadcast","ARP","60","ARP Announcement for 192.168.50.99"
"11","4.095481","BeijingX_57:93:46","Broadcast","ARP","60","ARP Announcement for 192.168.50.99"
"12","7.481969","BeijingX_57:93:46","Broadcast","ARP","60","Who has 192.168.50.90? Tell 192.168.50.99"
