"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","BeijingX_11:6d:80","Broadcast","XID","60","Basic Format; Type 1 LLC (Class I LLC); Window Size 0"
"2","0.091100","0.0.0.0","255.255.255.255","DHCP","350","DHCP Discover - Transaction ID 0x8bb89b76"
"3","0.105067","0.0.0.0","255.255.255.255","DHCP","350","DHCP Request  - Transaction ID 0x8bb89b76"
"4","0.112775","BeijingX_11:6d:80","Broadcast","ARP","60","Who has 192.168.50.230? (ARP Probe)"
"5","0.597876","BeijingX_11:6d:80","Broadcast","ARP","60","Who has 192.168.50.230? (ARP Probe)"
"6","1.109071","BeijingX_11:6d:80","Broadcast","ARP","60","Who has 192.168.50.230? (ARP Probe)"
"7","1.109747","BeijingX_11:6d:80","Broadcast","ARP","60","ARP Announcement for 192.168.50.230"
"8","1.639271","BeijingX_11:6d:80","Broadcast","ARP","60","Who has 192.168.50.1? Tell 192.168.50.230"
"9","2.122820","BeijingX_11:6d:80","Broadcast","ARP","60","ARP Announcement for 192.168.50.230"
"10","3.154829","BeijingX_11:6d:80","Broadcast","ARP","60","ARP Announcement for 192.168.50.230"
"11","3.221397","BeijingX_11:6d:80","Broadcast","ARP","60","Who has 192.168.50.90? Tell 192.168.50.230"
"12","4.147007","BeijingX_11:6d:80","Broadcast","ARP","60","ARP Announcement for 192.168.50.230"
