"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","BeijingX_e7:a2:86","Broadcast","XID","60","Basic Format; Type 1 LLC (Class I LLC); Window Size 0"
"2","0.084305","0.0.0.0","255.255.255.255","DHCP","350","DHCP Discover - Transaction ID 0x13a55d0f"
"3","0.108254","0.0.0.0","255.255.255.255","DHCP","350","DHCP Request  - Transaction ID 0x13a55d0f"
"4","0.117716","BeijingX_e7:a2:86","Broadcast","ARP","60","Who has 192.168.50.98? (ARP Probe)"
"5","0.467053","BeijingX_e7:a2:86","Broadcast","ARP","60","Who has 192.168.50.98? (ARP Probe)"
"6","0.948006","BeijingX_e7:a2:86","Broadcast","ARP","60","ARP Announcement for 192.168.50.98"
"7","0.953968","BeijingX_e7:a2:86","Broadcast","ARP","60","Who has 192.168.50.1? Tell 192.168.50.98"
"8","1.478284","BeijingX_e7:a2:86","Broadcast","ARP","60","ARP Announcement for 192.168.50.98"
"9","2.471998","BeijingX_e7:a2:86","Broadcast","ARP","60","ARP Announcement for 192.168.50.98"
"10","3.468846","BeijingX_e7:a2:86","Broadcast","ARP","60","ARP Announcement for 192.168.50.98"
"11","4.465638","BeijingX_e7:a2:86","Broadcast","ARP","60","ARP Announcement for 192.168.50.98"
"12","6.081644","BeijingX_e7:a2:86","Broadcast","ARP","60","Who has 192.168.50.90? Tell 192.168.50.98"
