No.,Time,Source,Destination,Protocol,Length,Info
1,0,BeijingX_92:9d:d7,Broadcast,XID,60,Basic Format; Type 1 LLC (Class I LLC); Window Size 0
2,0.223534,0.0.0.0,255.255.255.255,DHCP,350,DHCP Discover - Transaction ID 0xf29d93ee
3,0.257855,0.0.0.0,255.255.255.255,DHCP,350,DHCP Request  - Transaction ID 0xf29d93ee
4,0.262558,BeijingX_92:9d:d7,Broadcast,ARP,60,Who has 192.168.50.212? (ARP Probe)
5,0.529696,BeijingX_92:9d:d7,Broadcast,ARP,60,Who has 192.168.50.212? (ARP Probe)
6,0.973009,BeijingX_92:9d:d7,Broadcast,ARP,60,Who has 192.168.50.212? (ARP Probe)
7,0.973416,::,ff02::1:ff92:9dd7,ICMPv6,78,Neighbor Solicitation for fe80::5648:e6ff:fe92:9dd7
8,0.973712,::,ff02::2,ICMPv6,62,Router Solicitation
9,1.037932,BeijingX_92:9d:d7,Broadcast,ARP,60,ARP Announcement for 192.168.50.212
10,1.041641,BeijingX_92:9d:d7,Broadcast,ARP,60,Who has 192.168.50.1? Tell 192.168.50.212
11,1.228963,192.168.50.212,224.0.0.251,MDNS,160,"Standard query 0x0000 ANY MiDeskLamp1S-9DD7._hap._tcp.local, ""QU"" question ANY MyHost.local, ""QU"" question SRV 0 0 80 MyHost.local A 192.168.50.212"
12,1.536901,192.168.50.212,224.0.0.251,MDNS,167,"Standard query 0x0000 ANY MiDeskLamp1S-9DD7._hap._tcp.local, ""QM"" question ANY MyHost.local, ""QM"" question SRV 0 0 80 MyHost.local A 192.168.50.212"
13,1.838529,192.168.50.212,224.0.0.251,MDNS,167,"Standard query 0x0000 ANY MiDeskLamp1S-9DD7._hap._tcp.local, ""QM"" question ANY MyHost.local, ""QM"" question SRV 0 0 80 MyHost.local A 192.168.50.212"
14,1.980831,BeijingX_92:9d:d7,Broadcast,ARP,60,ARP Announcement for 192.168.50.212
