"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","BeijingX_28:9a:75","Broadcast","XID","60","Basic Format; Type 1 LLC (Class I LLC); Window Size 1"
"2","1.961211","0.0.0.0","255.255.255.255","DHCP","350","DHCP Discover - Transaction ID 0x3c02c8dd"
"3","1.984709","0.0.0.0","255.255.255.255","DHCP","350","DHCP Request  - Transaction ID 0x3c02c8dd"
"4","2.001125","BeijingX_28:9a:75","Broadcast","ARP","60","Who has 192.168.31.16? (ARP Probe)"
"5","2.461767","BeijingX_28:9a:75","Broadcast","ARP","60","Who has 192.168.31.16? (ARP Probe)"
"6","2.957179","BeijingX_28:9a:75","Broadcast","ARP","60","ARP Announcement for 192.168.31.16"
"7","3.408624","BeijingX_28:9a:75","Broadcast","ARP","60","Who has 192.168.31.1? Tell 192.168.31.16"
"8","3.959854","BeijingX_28:9a:75","Broadcast","ARP","60","ARP Announcement for 192.168.31.16"
"9","4.961095","BeijingX_28:9a:75","Broadcast","ARP","60","ARP Announcement for 192.168.31.16"
"10","5.988958","BeijingX_28:9a:75","Broadcast","ARP","60","ARP Announcement for 192.168.31.16"
