"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","::","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"2","0.739964","::","ff02::1:ff89:848","ICMPv6","78","Neighbor Solicitation for fe80::5e02:14ff:fe89:848"
"3","1.759867","fe80::5e02:14ff:fe89:848","ff02::16","ICMPv6","130","Multicast Listener Report Message v2"
"4","2.589676","0.0.0.0","255.255.255.255","DHCP","415","DHCP Discover - Transaction ID 0xe7525345"
"5","2.594027","0.0.0.0","255.255.255.255","DHCP","427","DHCP Request  - Transaction ID 0xe7525345"
"6","6.489934","fe80::5e02:14ff:fe89:848","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"7","22.494412","BeijingX_89:08:48","Broadcast","ARP","60","Who has 192.168.101.24? Tell 0.0.0.0"
"8","23.500243","BeijingX_89:08:48","Broadcast","ARP","60","Who has 192.168.101.24? Tell 0.0.0.0"
"9","24.540178","BeijingX_89:08:48","Broadcast","ARP","60","Who has 192.168.101.24? Tell 0.0.0.0"
"10","25.550541","BeijingX_89:08:48","Broadcast","ARP","60","Who has 192.168.101.24? Tell 0.0.0.0"
"11","26.590724","BeijingX_89:08:48","Broadcast","ARP","60","Who has 192.168.101.24? Tell 0.0.0.0"
"12","27.600730","BeijingX_89:08:48","Broadcast","ARP","60","Who has 192.168.101.24? Tell 0.0.0.0"
